 044233,7/8/2015	22:43:00,22:51:10,491,WHEEL,467,00.0,5.0,7.5,000
 044724,7/8/2015	22:51:11,22:51:31,21,SLNGE,038,71.4,5.0,15.7,038
 044745,7/8/2015	22:51:32,22:51:37,6,TFODA,0,83.3,8.3,22.3,011
 044751,7/8/2015	22:51:38,22:52:05,28,SLNGE,068,32.1,5.8,21.8,068
 044779,7/8/2015	22:52:06,22:52:22,17,DWATR,0.038,47.1,7.1,23.5,017
 044796,7/8/2015	22:52:23,22:53:10,48,SLNGE,086,31.3,8.0,21.9,086
 044844,7/8/2015	22:53:11,22:53:57,47,IHOME,13.810,00.0,9.0,9.0,000
 044891,7/8/2015	22:53:58,22:54:06,9,SLNGE,000,00.0,9.0,9.0,000
 044900,7/8/2015	22:54:07,22:54:09,3,TFODA,0,66.7,9.8,16.8,008
 044903,7/8/2015	22:54:10,22:54:16,7,SLNGE,009,100.0,9.0,18.8,009
 044910,7/8/2015	22:54:17,23:01:06,410,WHEEL,357,00.0,7.6,11.6,000
 045320,7/8/2015	23:01:07,23:01:22,16,SLNGE,000,25.0,8.5,10.0,000
 045336,7/8/2015	23:01:23,23:01:23,1,TFODA,0,00.0,8.5,10.0,000
 045337,7/8/2015	23:01:24,23:01:27,4,SLNGE,016,100.0,7.4,13.8,016
 045341,7/8/2015	23:01:28,23:07:37,370,WHEEL,340,00.0,7.1,11.7,000
 045711,7/8/2015	23:07:38,23:07:56,19,SLNGE,014,57.9,7.6,14.9,014
 045730,7/8/2015	23:07:57,23:12:00,244,TFODA,0,68.4,13.3,20.4,009
 045974,7/8/2015	23:12:01,23:12:33,33,SLNGE,020,12.1,9.3,18.3,020
 046007,7/8/2015	23:12:34,23:13:02,29,TFODA,0,75.9,12.2,19.9,002
 046036,7/8/2015	23:13:03,23:13:05,3,SLNGE,010,100.0,10.2,15.9,010
 046039,7/8/2015	23:13:06,23:16:47,222,IHOME,13.888,00.0,8.0,12.8,000
 046261,7/8/2015	23:16:48,23:16:57,10,SLNGE,002,00.0,8.1,12.6,002
 046271,7/8/2015	23:16:58,23:29:06,729,WHEEL,665,00.0,8.8,11.3,000
 047000,7/8/2015	23:29:07,23:29:22,16,SLNGE,014,50.0,8.9,16.0,014
 047016,7/8/2015	23:29:23,23:35:06,344,TFODA,0,67.2,12.5,20.1,052
 047360,7/8/2015	23:35:07,23:35:50,44,SLNGE,043,09.1,8.8,12.4,043
 047404,7/8/2015	23:35:51,23:38:22,152,IHOME,14.065,00.0,8.3,9.5,000
